Device,Date,Temperature
Device_2,1992-06-06,0.24
Device_1,1992-05-06,0.3276
Device_2,1992-05-06,0.32
Device_1,1992-04-06,0.2936
Device_2,1992-04-06,0.24
Device_1,1992-03-06,0.4333
Device_2,1992-03-06,0.47
Device_1,1992-02-06,0.4485
Device_2,1992-02-06,0.42
Device_1,1992-01-06,0.4721
Device_2,1992-01-06,0.45
Device_1,1991-12-06,0.3064
Device_2,1991-12-06,0.33
Device_1,1991-11-06,0.3175
Device_2,1991-11-06,0.31
Device_1,1991-10-06,0.3292
Device_2,1991-10-06,0.32
Device_1,1991-09-06,0.3863
Device_2,1991-09-06,0.5
Device_1,1991-08-06,0.3880
Device_2,1991-08-06,0.42
Device_1,1991-07-06,0.4462
Device_2,1991-07-06,0.51
Device_1,1991-06-06,0.4813
Device_2,1991-06-06,0.54
Device_1,1991-05-06,0.4107
Device_2,1991-05-06,0.39
Device_1,1991-04-06,0.5168
Device_2,1991-04-06,0.53
Device_1,1991-03-06,0.3658
Device_2,1991-03-06,0.36
Device_1,1991-02-06,0.4661
Device_2,1991-02-06,0.51
Device_1,1991-01-06,0.4512
Device_2,1991-01-06,0.42
Device_1,1990-12-06,0.4481
Device_2,1990-12-06,0.42
Device_1,1990-11-06,0.4797
Device_2,1990-11-06,0.46
Device_1,1990-10-06,0.4277
Device_2,1990-10-06,0.43
Device_1,1990-09-06,0.3144
Device_2,1990-09-06,0.3
Device_1,1990-08-06,0.3479
Device_2,1990-08-06,0.3
Device_1,1990-07-06,0.3453
Device_2,1990-07-06,0.44
Device_1,1990-06-06,0.4114
Device_2,1990-06-06,0.38
Device_1,1990-05-06,0.4274
Device_2,1990-05-06,0.46
Device_1,1990-04-06,0.4907
Device_2,1990-04-06,0.55
Device_1,1990-03-06,0.7328
Device_2,1990-03-06,0.76
Device_1,1990-02-06,0.4072
Device_2,1990-02-06,0.41
Device_1,1990-01-06,0.3613
Device_2,1990-01-06,0.41
Device_1,1989-12-06,0.4013
Device_2,1989-12-06,0.37
Device_1,1989-11-06,0.2541
Device_2,1989-11-06,0.21
Device_1,1989-10-06,0.3044
Device_2,1989-10-06,0.32
Device_1,1989-09-06,0.3019
Device_2,1989-09-06,0.37
Device_1,1989-08-06,0.3021
Device_2,1989-08-06,0.36
Device_1,1989-07-06,0.3016
Device_2,1989-07-06,0.34
Device_1,1989-06-06,0.2727
Device_2,1989-06-06,0.15
Device_1,1989-05-06,0.2779
Device_2,1989-05-06,0.17
Device_1,1989-04-06,0.2891
Device_2,1989-04-06,0.33
Device_1,1989-03-06,0.3360
Device_2,1989-03-06,0.36
Device_1,1989-02-06,0.3072
Device_2,1989-02-06,0.35
Device_1,1989-01-06,0.2157
Device_2,1989-01-06,0.16
Device_1,1988-12-06,0.3626
Device_2,1988-12-06,0.34
Device_1,1988-11-06,0.2291
Device_2,1988-11-06,0.13
Device_1,1988-10-06,0.3009
Device_2,1988-10-06,0.4
Device_1,1988-09-06,0.3211
Device_2,1988-09-06,0.42
Device_1,1988-08-06,0.3199
Device_2,1988-08-06,0.46
Device_1,1988-07-06,0.3431
Device_2,1988-07-06,0.35
Device_1,1988-06-06,0.3865
Device_2,1988-06-06,0.42
Device_1,1988-05-06,0.3811
Device_2,1988-05-06,0.44
Device_1,1988-04-06,0.4426
Device_2,1988-04-06,0.45
Device_1,1988-03-06,0.4828
Device_2,1988-03-06,0.49
Device_1,1988-02-06,0.3901
Device_2,1988-02-06,0.42
Device_1,1988-01-06,0.5487
Device_2,1988-01-06,0.57
Device_1,1987-12-06,0.5316
Device_2,1987-12-06,0.47
Device_1,1987-11-06,0.3306
Device_2,1987-11-06,0.25
Device_1,1987-10-06,0.3347
Device_2,1987-10-06,0.32
Device_1,1987-09-06,0.4321
Device_2,1987-09-06,0.39
Device_1,1987-08-06,0.3832
Device_2,1987-08-06,0.28
Device_1,1987-07-06,0.4182
Device_2,1987-07-06,0.46
Device_1,1987-06-06,0.3013
Device_2,1987-06-06,0.36
Device_1,1987-05-06,0.3339
Device_2,1987-05-06,0.26
Device_1,1987-04-06,0.3009
Device_2,1987-04-06,0.24
Device_1,1987-03-06,0.2541
Device_2,1987-03-06,0.17
Device_1,1987-02-06,0.5028
Device_2,1987-02-06,0.46
Device_1,1987-01-06,0.3115
Device_2,1987-01-06,0.36
Device_1,1986-12-06,0.2179
Device_2,1986-12-06,0.16
Device_1,1986-11-06,0.1548
Device_2,1986-11-06,0.11
Device_1,1986-10-06,0.2066
Device_2,1986-10-06,0.14
Device_1,1986-09-06,0.1716
Device_2,1986-09-06,0.02
Device_1,1986-08-06,0.1698
Device_2,1986-08-06,0.12
Device_1,1986-07-06,0.1686
Device_2,1986-07-06,0.13
Device_1,1986-06-06,0.2534
Device_2,1986-06-06,0.12
Device_1,1986-05-06,0.2507
Device_2,1986-05-06,0.26
Device_1,1986-04-06,0.2613
Device_2,1986-04-06,0.26
Device_1,1986-03-06,0.2966
Device_2,1986-03-06,0.29
Device_1,1986-02-06,0.2788
Device_2,1986-02-06,0.39
Device_1,1986-01-06,0.3249
Device_2,1986-01-06,0.3
Device_1,1985-12-06,0.1978
Device_2,1985-12-06,0.15
Device_1,1985-11-06,0.1181
Device_2,1985-11-06,0.09
Device_1,1985-10-06,0.1303
Device_2,1985-10-06,0.11
Device_1,1985-09-06,0.1010
Device_2,1985-09-06,0.14
Device_1,1985-08-06,0.1287
Device_2,1985-08-06,0.15
Device_1,1985-07-06,0.0779
Device_2,1985-07-06,0.0
Device_1,1985-06-06,0.1290
Device_2,1985-06-06,0.17
Device_1,1985-05-06,0.1959
Device_2,1985-05-06,0.17
Device_1,1985-04-06,0.1488
Device_2,1985-04-06,0.11
Device_1,1985-03-06,0.1875
Device_2,1985-03-06,0.17
Device_1,1985-02-06,0.0176
Device_2,1985-02-06,-0.06
Device_1,1985-01-06,0.1783
Device_2,1985-01-06,0.21
Device_1,1984-12-06,-0.0926
Device_2,1984-12-06,-0.06
Device_1,1984-11-06,0.0365
Device_2,1984-11-06,0.04
Device_1,1984-10-06,0.1187
Device_2,1984-10-06,0.15
Device_1,1984-09-06,0.1431
Device_2,1984-09-06,0.2
Device_1,1984-08-06,0.1687
Device_2,1984-08-06,0.15
Device_1,1984-07-06,0.1193
Device_2,1984-07-06,0.16
Device_1,1984-06-06,0.1306
Device_2,1984-06-06,0.04
Device_1,1984-05-06,0.2834
Device_2,1984-05-06,0.33
Device_1,1984-04-06,0.1503
Device_2,1984-04-06,0.08
Device_1,1984-03-06,0.2720
Device_2,1984-03-06,0.29
Device_1,1984-02-06,0.1753
Device_2,1984-02-06,0.17
Device_1,1984-01-06,0.2831
Device_2,1984-01-06,0.3
Device_1,1983-12-06,0.2748
Device_2,1983-12-06,0.17
Device_1,1983-11-06,0.4313
Device_2,1983-11-06,0.3
Device_1,1983-10-06,0.2113
Device_2,1983-10-06,0.15
Device_1,1983-09-06,0.3175
Device_2,1983-09-06,0.38
Device_1,1983-08-06,0.3228
Device_2,1983-08-06,0.3
Device_1,1983-07-06,0.2663
Device_2,1983-07-06,0.15
Device_1,1983-06-06,0.2629
Device_2,1983-06-06,0.18
Device_1,1983-05-06,0.2881
Device_2,1983-05-06,0.35
Device_1,1983-04-06,0.2918
Device_2,1983-04-06,0.3
Device_1,1983-03-06,0.4256
Device_2,1983-03-06,0.42
Device_1,1983-02-06,0.4834
Device_2,1983-02-06,0.4
Device_1,1983-01-06,0.5169
Device_2,1983-01-06,0.52
Device_1,1982-12-06,0.4355
Device_2,1982-12-06,0.43
Device_1,1982-11-06,0.1510
Device_2,1982-11-06,0.14
Device_1,1982-10-06,0.1771
Device_2,1982-10-06,0.13
Device_1,1982-09-06,0.2330
Device_2,1982-09-06,0.15
Device_1,1982-08-06,0.1406
Device_2,1982-08-06,0.08
Device_1,1982-07-06,0.1436
Device_2,1982-07-06,0.13
Device_1,1982-06-06,0.1231
Device_2,1982-06-06,0.05
Device_1,1982-05-06,0.1923
Device_2,1982-05-06,0.16
Device_1,1982-04-06,0.2054
Device_2,1982-04-06,0.1
Device_1,1982-03-06,0.0833
Device_2,1982-03-06,-0.01
Device_1,1982-02-06,0.1593
Device_2,1982-02-06,0.14
Device_1,1982-01-06,0.1342
Device_2,1982-01-06,0.09
Device_1,1981-12-06,0.4200
Device_2,1981-12-06,0.4
Device_1,1981-11-06,0.2119
Device_2,1981-11-06,0.21
Device_1,1981-10-06,0.1687
